"ECR","Player","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"1","Denver Broncos","9.17","4.628","5.925","3.532","BYE","7.714","9.17","6.024","6.920","4.330","6.721","3.532","7.913","12.71","7.019","6.323","6.024"
"2","Seattle Seahawks","5.327","9.08","8.112","7.019","11.92","BYE","7.714","8.89","6.323","9.35","3.931","9.08","6.920","9.44","11.92","4.628","9.35"
"3","Houston Texans","9.44","6.721","4.330","8.112","6.024","11.33","BYE","7.716","7.019","11.92","9.35","7.418","8.112","9.08","9.44","4.629","7.019"
"4","Kansas City Chiefs","4.330","6.920","9.17","6.323","8.89","4.629","3.532","9.36","4.628","BYE","7.714","5.925","12.71","3.532","9.17","7.913","9.36"
"5","Minnesota Vikings","6.422","4.629","7.715","5.726","8.411","5.327","7.418","11.33","BYE","6.323","11.92","5.726","3.931","8.710","6.721","5.327","8.411"
"6","Arizona Cardinals","5.726","7.019","4.628","9.08","6.920","7.715","11.92","BYE","9.08","7.716","8.89","9.44","11.92","8.112","6.323","7.714","7.716"
"7","New England Patriots","6.024","6.422","8.89","8.710","7.715","12.71","3.931","9.17","BYE","9.36","3.532","7.913","5.925","7.913","4.629","5.925","12.71"
"8","Carolina Panthers","9.08","5.925","6.422","4.330","5.726","6.920","8.411","7.715","3.931","7.913","BYE","12.71","6.422","7.517","5.327","7.715","3.931"
"9","New York Giants","4.628","5.726","6.920","7.715","9.17","9.36","7.716","BYE","11.92","9.08","6.024","6.323","3.532","4.628","6.920","9.35","6.323"
"10","Jacksonville Jaguars","8.89","8.112","7.418","12.71","4.629","11.92","7.019","BYE","6.721","9.17","11.33","9.35","7.019","7.716","8.89","9.08","8.112"
"11","Los Angeles Rams","7.019","6.323","9.08","4.628","7.716","9.44","9.35","BYE","7.714","8.89","7.517","6.422","9.35","6.920","7.716","8.112","9.08"
"12","Philadelphia Eagles","6.323","6.024","7.714","9.17","9.35","8.710","6.323","9.08","9.36","BYE","4.628","8.411","7.716","11.92","7.714","3.532","4.628"
"13","Pittsburgh Steelers","11.33","7.517","8.411","7.418","9.44","6.024","6.721","5.726","BYE","7.019","8.112","5.327","6.721","7.418","4.330","8.89","11.33"
"14","Baltimore Ravens","6.721","11.33","9.44","4.629","3.532","8.411","7.517","7.913","8.112","BYE","5.327","8.89","5.726","4.629","11.33","7.019","6.721"
"15","Cincinnati Bengals","7.418","8.89","5.327","11.33","5.925","BYE","4.629","7.019","9.44","8.112","9.36","11.33","4.629","8.411","7.517","5.726","7.418"
"16","Los Angeles Chargers","9.36","7.913","6.024","6.920","7.714","3.532","9.36","4.330","BYE","9.44","5.925","4.628","11.33","6.323","6.024","12.71","3.532"
"17","Oakland Raiders","8.112","12.71","6.323","9.36","7.418","9.17","6.024","5.925","7.913","BYE","4.330","9.36","7.714","6.024","4.628","6.920","9.17"
"18","Green Bay Packers","7.716","3.931","6.721","8.411","4.628","7.517","6.422","BYE","5.726","8.411","7.418","4.629","7.715","11.33","8.710","7.517","5.726"
"19","Tampa Bay Buccaneers","7.913","8.411","7.517","7.714","4.330","9.35","5.925","8.710","6.422","12.71","BYE","3.931","5.327","5.726","3.931","8.710","6.422"
"20","Atlanta Falcons","8.411","5.327","5.726","5.925","BYE","7.913","4.330","12.71","8.710","4.628","7.716","7.715","7.517","6.422","7.715","6.422","8.710"
"21","Buffalo Bills","12.71","8.710","9.36","3.931","6.721","BYE","7.715","3.532","12.71","6.422","9.17","6.024","4.330","7.019","7.913","4.330","7.913"
"22","Miami Dolphins","7.715","9.17","12.71","6.422","8.112","3.931","12.71","7.418","3.532","8.710","BYE","4.330","9.36","4.330","5.925","6.024","5.925"
"23","Tennessee Titans","3.532","9.44","7.716","8.89","7.913","7.019","11.33","BYE","7.418","6.721","4.629","7.019","8.89","9.35","9.08","11.92","9.44"
"24","Detroit Lions","9.35","7.714","3.931","7.517","8.710","6.422","BYE","4.629","5.327","11.33","8.411","7.517","7.418","7.715","8.411","6.721","5.327"
"25","Dallas Cowboys","7.714","9.36","9.35","11.92","5.327","BYE","9.08","6.323","6.024","3.931","6.920","9.17","6.323","7.714","3.532","7.716","6.920"
"26","Washington Redskins","6.920","11.92","3.532","6.024","BYE","9.08","6.920","4.628","7.716","7.517","6.422","7.714","4.628","9.17","9.35","9.36","7.714"
"27","New York Jets","5.925","3.532","7.913","9.44","11.33","4.330","7.913","3.931","5.925","7.715","BYE","8.710","6.024","9.36","6.422","9.17","4.330"
"28","Chicago Bears","3.931","7.715","4.629","5.327","7.517","7.418","8.710","6.422","BYE","5.327","5.726","6.920","9.08","6.721","5.726","11.33","7.517"
"29","Indianapolis Colts","11.92","9.35","11.33","7.716","9.08","8.112","9.44","6.721","8.89","4.629","BYE","8.112","9.44","5.925","9.36","7.418","8.89"
"30","New Orleans Saints","7.517","4.330","8.710","7.913","BYE","5.726","5.327","8.411","7.715","5.925","6.323","11.92","8.710","3.931","12.71","3.931","7.715"
"31","San Francisco 49ers","8.710","7.716","11.92","9.35","7.019","6.323","4.628","6.920","9.35","7.714","BYE","7.716","8.411","8.89","8.112","9.44","11.92"
"32","Cleveland Browns","4.629","7.418","7.019","6.721","12.71","8.89","8.112","7.517","BYE","5.726","9.44","6.721","9.17","5.327","7.418","8.411","4.629"
""
""
