"ECR","Player","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"1","Justin Tucker BAL","8.116","7.422","11.11","7.324","6.927","9.53","8.512","7.720","8.513","BYE","8.511","7.719","7.325","7.324","7.422","9.54","8.116"
"2","Stephen Gostkowski NE","7.226","9.92","7.719","9.36","8.215","8.99","7.423","9.45","BYE","8.314","6.927","7.720","8.710","7.720","7.324","8.710","8.99"
"3","Dan Bailey DAL","9.08","8.314","8.117","5.531","8.511","BYE","9.07","7.721","7.226","7.423","7.918","9.45","7.721","9.08","6.927","6.130","7.918"
"4","Matt Bryant ATL","9.53","8.511","7.325","8.710","BYE","7.720","6.329","8.99","9.36","6.528","6.130","8.215","8.512","9.92","8.215","9.92","9.36"
"5","Mason Crosby GB","6.130","7.423","8.116","9.53","6.528","8.512","9.92","BYE","7.325","9.53","4.932","7.324","8.215","7.422","9.36","8.512","7.325"
"6","Adam Vinatieri IND","5.531","8.117","7.422","6.130","9.07","8.513","11.11","8.116","7.719","7.324","BYE","8.513","11.11","8.710","8.314","4.932","7.719"
"7","Cairo Santos KC","6.329","7.918","9.45","7.721","7.719","7.324","6.927","8.314","6.528","BYE","9.08","8.710","8.99","6.927","9.45","7.720","8.314"
"8","Matt Prater DET","8.117","9.08","7.423","8.512","9.36","9.92","BYE","7.324","8.511","7.422","9.53","8.512","4.932","8.215","9.53","8.116","8.511"
"9","Will Lutz NO","8.512","6.329","9.36","7.720","BYE","7.325","8.511","9.53","8.215","8.710","7.721","5.531","9.36","7.423","8.99","7.423","8.215"
"10","Sebastian Janikowski OAK","8.513","8.99","7.721","8.314","4.932","9.45","7.226","8.710","7.720","BYE","6.329","8.314","9.08","7.226","6.528","7.918","9.45"
"11","Dustin Hopkins WAS","7.918","5.531","6.927","7.226","BYE","9.07","7.918","6.528","6.130","8.512","9.92","9.08","6.528","9.45","8.117","8.314","9.08"
"12","Chris Boswell PIT","7.422","8.512","9.53","4.932","11.11","7.226","8.116","7.325","BYE","9.54","8.513","8.511","8.116","4.932","6.329","7.719","7.422"
"13","Graham Gano CAR","9.07","8.710","9.92","6.329","7.325","7.918","9.53","8.215","7.423","7.720","BYE","8.99","9.92","8.512","8.511","8.215","7.423"
"14","Steven Hauschka BUF","8.99","9.36","8.314","7.423","8.116","BYE","8.215","6.927","8.99","9.92","9.45","7.226","6.329","9.54","7.720","6.329","7.720"
