"ECR","Player","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"1","Aaron Rodgers GB","14.529","19.02","16.418","16.716","16.319","15.426","17.511","BYE","18.05","16.716","15.623","14.528","16.915","19.31","17.114","15.426","18.05"
"2","Tom Brady NE","15.525","17.511","14.430","17.114","16.915","18.06","19.02","15.624","BYE","12.532","17.68","18.24","15.720","18.24","14.528","15.720","18.06"
"3","Drew Brees NO","15.426","15.722","17.114","18.24","BYE","18.05","17.610","16.716","16.915","15.720","17.213","17.69","17.114","19.02","18.06","19.02","16.915"
"4","Russell Wilson SEA","17.610","17.412","18.43","17.97","17.69","BYE","12.531","14.430","17.213","16.617","19.02","17.412","15.721","15.027","17.69","16.319","16.617"
"5","Matt Ryan ATL","16.716","17.610","18.05","15.720","BYE","18.24","15.722","18.06","17.114","16.319","14.529","16.915","15.426","17.511","16.915","17.511","17.114"
"6","Andrew Luck IND","17.69","16.617","19.31","14.529","17.412","18.43","15.027","16.418","14.430","14.528","BYE","18.43","15.027","15.720","12.532","15.623","14.430"
"7","Kirk Cousins WAS","15.721","17.69","17.68","15.525","BYE","17.412","15.721","16.319","14.529","15.426","17.511","12.531","16.319","15.624","16.617","12.532","12.531"
"8","Marcus Mariota TEN","17.68","15.027","14.529","14.430","18.24","17.97","19.31","BYE","15.623","16.418","14.528","17.97","14.430","16.617","17.412","17.69","15.027"
"9","Jameis Winston TB","18.24","16.716","15.426","12.531","15.722","16.617","15.720","17.114","17.511","18.06","BYE","19.02","17.610","18.05","19.02","17.114","17.511"
"10","Cam Newton CAR","17.412","15.720","17.511","15.722","18.05","15.721","16.716","16.915","19.02","18.24","BYE","18.06","17.511","15.426","17.610","16.915","19.02"
"11","Ben Roethlisberger PIT","19.31","15.426","16.716","15.623","15.027","15.525","16.418","18.05","BYE","17.97","18.43","17.610","16.418","15.623","15.722","14.430","19.31"
"12","Derek Carr OAK","18.43","18.06","17.213","12.532","15.623","15.624","15.525","15.720","18.24","BYE","15.722","12.532","12.531","15.525","16.319","15.721","15.624"
"13","Dak Prescott DAL","12.531","12.532","16.617","17.69","17.610","BYE","17.412","17.213","15.525","19.02","15.721","15.624","17.213","12.531","17.68","14.529","15.721"
"14","Philip Rivers LAC","12.532","18.24","15.525","15.721","12.531","17.68","12.532","15.722","BYE","15.027","15.720","16.319","19.31","17.213","15.525","18.06","17.68"
"15","Matthew Stafford DET","16.617","12.531","19.02","15.426","17.114","17.511","BYE","14.528","17.610","19.31","16.716","15.426","15.623","16.915","16.716","16.418","17.610"
"16","Andy Dalton CIN","15.623","14.430","17.610","19.31","15.720","BYE","14.528","17.97","15.027","18.43","12.532","19.31","14.528","16.716","15.426","18.05","15.623"
"17","Tyrod Taylor BUF","18.06","17.114","12.532","19.02","16.418","BYE","16.915","17.68","18.06","17.511","15.624","15.525","15.722","17.97","18.24","15.722","18.24"
"18","Eli Manning NYG","16.319","18.05","15.721","16.915","15.624","12.532","14.529","BYE","17.69","17.412","15.525","17.213","17.68","16.319","15.721","16.617","17.213"
"19","Carson Palmer ARI","18.05","17.97","16.319","17.412","15.721","16.915","17.69","BYE","17.412","14.529","14.430","15.027","17.69","18.43","17.213","12.531","14.529"
"20","Carson Wentz PHI","17.213","15.525","12.531","15.624","16.617","17.114","17.213","17.412","12.532","BYE","16.319","16.716","14.529","17.69","12.531","17.68","16.319"
"21","Blake Bortles JAC","14.430","18.43","15.623","18.06","14.528","17.69","17.97","BYE","16.418","15.624","19.31","16.617","17.97","14.529","14.430","17.412","18.43"
"22","Joe Flacco BAL","16.418","19.31","15.027","14.528","17.68","16.716","15.426","18.24","18.43","BYE","17.610","14.430","18.05","14.528","19.31","17.97","16.418"
"23","Sam Bradford MIN","17.511","14.528","16.915","18.05","16.716","17.610","15.623","19.31","BYE","17.213","17.69","18.05","19.02","17.114","16.418","17.610","16.716"
"24","Jay Cutler MIA","16.915","15.624","18.06","17.511","18.43","19.02","18.06","15.623","17.68","17.114","BYE","15.722","12.532","15.722","15.720","15.525","15.720"
"25","Alex Smith KC","15.722","15.721","15.624","17.213","14.430","14.528","17.68","12.532","16.319","BYE","12.531","15.720","18.06","17.68","15.624","18.24","12.532"
"26","Brian Hoyer SF","17.114","14.529","17.69","16.617","17.97","17.213","16.319","15.721","16.617","12.531","BYE","14.529","16.716","14.430","18.43","15.027","17.69"
"27","Deshaun Watson HOU","15.027","16.418","15.722","18.43","15.525","19.31","BYE","14.529","17.97","17.69","16.617","15.623","18.43","17.412","15.027","14.528","17.97"
"28","Trevor Siemian DEN","15.624","16.319","15.720","17.68","BYE","12.531","15.624","15.525","15.721","15.722","16.418","17.68","18.24","18.06","17.97","17.213","15.525"
"29","Tom Savage HOU","15.027","16.418","15.722","18.43","15.525","19.31","BYE","14.529","17.97","17.69","16.617","15.623","18.43","17.412","15.027","14.528","17.97"
"30","Jared Goff LAR","17.97","17.213","17.412","16.319","14.529","15.027","16.617","BYE","12.531","14.430","15.426","17.511","16.617","15.721","14.529","18.43","17.412"
"31","Mike Glennon CHI","19.02","16.915","14.528","17.610","15.426","15.623","17.114","17.511","BYE","17.610","18.05","15.721","17.412","16.418","18.05","19.31","15.426"
"32","Josh McCown NYJ","15.720","17.68","18.24","15.027","19.31","15.722","18.24","19.02","15.720","16.915","BYE","17.114","15.525","12.532","17.511","15.624","15.722"
"33","Jimmy Garoppolo NE","15.525","17.511","14.430","17.114","16.915","18.06","19.02","15.624","BYE","12.532","17.68","18.24","15.720","18.24","14.528","15.720","18.06"
"34","Mitch Trubisky CHI","19.02","16.915","14.528","17.610","15.426","15.623","17.114","17.511","BYE","17.610","18.05","15.721","17.412","16.418","18.05","19.31","15.426"
"35","Chad Henne JAC","14.430","18.43","15.623","18.06","14.528","17.69","17.97","BYE","16.418","15.624","19.31","16.617","17.97","14.529","14.430","17.412","18.43"
"36","DeShone Kizer CLE","14.528","15.623","17.97","16.418","18.06","14.430","18.43","15.426","BYE","18.05","15.027","16.418","15.624","17.610","15.623","16.716","14.528"
"37","Cody Kessler CLE","14.528","15.623","17.97","16.418","18.06","14.430","18.43","15.426","BYE","18.05","15.027","16.418","15.624","17.610","15.623","16.716","14.528"
"38","Paxton Lynch DEN","15.624","16.319","15.720","17.68","BYE","12.531","15.624","15.525","15.721","15.722","16.418","17.68","18.24","18.06","17.97","17.213","15.525"
"39","Brock Osweiler CLE","14.528","15.623","17.97","16.418","18.06","14.430","18.43","15.426","BYE","18.05","15.027","16.418","15.624","17.610","15.623","16.716","14.528"
"40","Robert Griffin FA","","","","","","","","","","","","","","","","",""
"41","Patrick Mahomes KC","15.722","15.721","15.624","17.213","14.430","14.528","17.68","12.532","16.319","BYE","12.531","15.720","18.06","17.68","15.624","18.24","12.532"
"42","Matt Moore MIA","16.915","15.624","18.06","17.511","18.43","19.02","18.06","15.623","17.68","17.114","BYE","15.722","12.532","15.722","15.720","15.525","15.720"
"43","Colin Kaepernick FA","","","","","","","","","","","","","","","","",""
"44","Christian Hackenberg NYJ","15.720","17.68","18.24","15.027","19.31","15.722","18.24","19.02","15.720","16.915","BYE","17.114","15.525","12.532","17.511","15.624","15.722"
"45","Teddy Bridgewater MIN","17.511","14.528","16.915","18.05","16.716","17.610","15.623","19.31","BYE","17.213","17.69","18.05","19.02","17.114","16.418","17.610","16.716"
"46","Matt Barkley SF","17.114","14.529","17.69","16.617","17.97","17.213","16.319","15.721","16.617","12.531","BYE","14.529","16.716","14.430","18.43","15.027","17.69"
"47","Bryce Petty NYJ","15.720","17.68","18.24","15.027","19.31","15.722","18.24","19.02","15.720","16.915","BYE","17.114","15.525","12.532","17.511","15.624","15.722"
"48","Scott Tolzien IND","17.69","16.617","19.31","14.529","17.412","18.43","15.027","16.418","14.430","14.528","BYE","18.43","15.027","15.720","12.532","15.623","14.430"
"49","Landry Jones PIT","19.31","15.426","16.716","15.623","15.027","15.525","16.418","18.05","BYE","17.97","18.43","17.610","16.418","15.623","15.722","14.430","19.31"
"50","AJ McCarron CIN","15.623","14.430","17.610","19.31","15.720","BYE","14.528","17.97","15.027","18.43","12.532","19.31","14.528","16.716","15.426","18.05","15.623"
"51","Blaine Gabbert ARI","18.05","17.97","16.319","17.412","15.721","16.915","17.69","BYE","17.412","14.529","14.430","15.027","17.69","18.43","17.213","12.531","14.529"
"52","Ryan Fitzpatrick TB","18.24","16.716","15.426","12.531","15.722","16.617","15.720","17.114","17.511","18.06","BYE","19.02","17.610","18.05","19.02","17.114","17.511"
"53","Derek Anderson CAR","17.412","15.720","17.511","15.722","18.05","15.721","16.716","16.915","19.02","18.24","BYE","18.06","17.511","15.426","17.610","16.915","19.02"
"54","Geno Smith NYG","16.319","18.05","15.721","16.915","15.624","12.532","14.529","BYE","17.69","17.412","15.525","17.213","17.68","16.319","15.721","16.617","17.213"
"55","Nick Foles PHI","17.213","15.525","12.531","15.624","16.617","17.114","17.213","17.412","12.532","BYE","16.319","16.716","14.529","17.69","12.531","17.68","16.319"
"56","Brett Hundley GB","14.529","19.02","16.418","16.716","16.319","15.426","17.511","BYE","18.05","16.716","15.623","14.528","16.915","19.31","17.114","15.426","18.05"
"57","Case Keenum MIN","17.511","14.528","16.915","18.05","16.716","17.610","15.623","19.31","BYE","17.213","17.69","18.05","19.02","17.114","16.418","17.610","16.716"
"58","Nathan Peterman BUF","18.06","17.114","12.532","19.02","16.418","BYE","16.915","17.68","18.06","17.511","15.624","15.525","15.722","17.97","18.24","15.722","18.24"
"59","Drew Stanton ARI","18.05","17.97","16.319","17.412","15.721","16.915","17.69","BYE","17.412","14.529","14.430","15.027","17.69","18.43","17.213","12.531","14.529"
"60","C.J. Beathard SF","17.114","14.529","17.69","16.617","17.97","17.213","16.319","15.721","16.617","12.531","BYE","14.529","16.716","14.430","18.43","15.027","17.69"
"61","Matt Cassel TEN","17.68","15.027","14.529","14.430","18.24","17.97","19.31","BYE","15.623","16.418","14.528","17.97","14.430","16.617","17.412","17.69","15.027"
"62","Colt McCoy WAS","15.721","17.69","17.68","15.525","BYE","17.412","15.721","16.319","14.529","15.426","17.511","12.531","16.319","15.624","16.617","12.532","12.531"
"63","Sean Mannion LAR","17.97","17.213","17.412","16.319","14.529","15.027","16.617","BYE","12.531","14.430","15.426","17.511","16.617","15.721","14.529","18.43","17.412"
"64","Ryan Mallett BAL","16.418","19.31","15.027","14.528","17.68","16.716","15.426","18.24","18.43","BYE","17.610","14.430","18.05","14.528","19.31","17.97","16.418"
"65","Chase Daniel NO","15.426","15.722","17.114","18.24","BYE","18.05","17.610","16.716","16.915","15.720","17.213","17.69","17.114","19.02","18.06","19.02","16.915"
"66","Mark Sanchez CHI","19.02","16.915","14.528","17.610","15.426","15.623","17.114","17.511","BYE","17.610","18.05","15.721","17.412","16.418","18.05","19.31","15.426"
"67","Joshua Dobbs PIT","19.31","15.426","16.716","15.623","15.027","15.525","16.418","18.05","BYE","17.97","18.43","17.610","16.418","15.623","15.722","14.430","19.31"
"68","T.J. Yates BUF","18.06","17.114","12.532","19.02","16.418","BYE","16.915","17.68","18.06","17.511","15.624","15.525","15.722","17.97","18.24","15.722","18.24"
"69","Trevone Boykin SEA","17.610","17.412","18.43","17.97","17.69","BYE","12.531","14.430","17.213","16.617","19.02","17.412","15.721","15.027","17.69","16.319","16.617"
"70","Connor Cook OAK","18.43","18.06","17.213","12.532","15.623","15.624","15.525","15.720","18.24","BYE","15.722","12.532","12.531","15.525","16.319","15.721","15.624"
"71","Matt Schaub ATL","16.716","17.610","18.05","15.720","BYE","18.24","15.722","18.06","17.114","16.319","14.529","16.915","15.426","17.511","16.915","17.511","17.114"
"72","Brandon Allen JAC","14.430","18.43","15.623","18.06","14.528","17.69","17.97","BYE","16.418","15.624","19.31","16.617","17.97","14.529","14.430","17.412","18.43"
"73","Cardale Jones LAC","12.532","18.24","15.525","15.721","12.531","17.68","12.532","15.722","BYE","15.027","15.720","16.319","19.31","17.213","15.525","18.06","17.68"
"74","Kellen Moore DAL","12.531","12.532","16.617","17.69","17.610","BYE","17.412","17.213","15.525","19.02","15.721","15.624","17.213","12.531","17.68","14.529","15.721"
"75","Jacoby Brissett NE","15.525","17.511","14.430","17.114","16.915","18.06","19.02","15.624","BYE","12.532","17.68","18.24","15.720","18.24","14.528","15.720","18.06"
"76","Chad Pennington MIA","16.915","15.624","18.06","17.511","18.43","19.02","18.06","15.623","17.68","17.114","BYE","15.722","12.532","15.722","15.720","15.525","15.720"
"77","Jake Rudock DET","16.617","12.531","19.02","15.426","17.114","17.511","BYE","14.528","17.610","19.31","16.716","15.426","15.623","16.915","16.716","16.418","17.610"
"78","Kellen Clemens LAC","12.532","18.24","15.525","15.721","12.531","17.68","12.532","15.722","BYE","15.027","15.720","16.319","19.31","17.213","15.525","18.06","17.68"
"79","Charlie Batch PIT","19.31","15.426","16.716","15.623","15.027","15.525","16.418","18.05","BYE","17.97","18.43","17.610","16.418","15.623","15.722","14.430","19.31"
"80","David Carr FA","","","","","","","","","","","","","","","","",""
"81","Chad Kelly DEN","15.624","16.319","15.720","17.68","BYE","12.531","15.624","15.525","15.721","15.722","16.418","17.68","18.24","18.06","17.97","17.213","15.525"
"82","Matt McGloin PHI","17.213","15.525","12.531","15.624","16.617","17.114","17.213","17.412","12.532","BYE","16.319","16.716","14.529","17.69","12.531","17.68","16.319"
"83","Ryan Griffin TB","18.24","16.716","15.426","12.531","15.722","16.617","15.720","17.114","17.511","18.06","BYE","19.02","17.610","18.05","19.02","17.114","17.511"
""
""
