"ECR","Player","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"1","David Johnson ARI","15.824","20.86","14.332","28.11","16.720","19.99","17.817","BYE","28.11","14.631","17.518","17.019","17.817","14.829","21.05","15.725","14.631"
"2","Le'Veon Bell PIT","23.72","15.526","16.123","15.027","17.019","18.315","18.314","15.824","BYE","20.86","14.829","16.421","18.314","15.027","14.830","17.518","23.72"
"3","LeSean McCoy BUF","18.613","16.222","19.312","19.710","18.314","BYE","19.99","19.611","18.613","21.74","20.28","18.315","14.830","20.86","18.116","14.830","18.116"
"4","Melvin Gordon LAC","19.312","18.116","18.315","16.720","15.725","19.611","19.312","14.830","BYE","17.019","21.73","14.332","23.72","21.05","18.315","18.613","19.611"
"5","Devonta Freeman ATL","16.123","16.421","15.824","21.73","BYE","18.116","14.830","18.613","16.222","14.332","14.631","19.99","15.526","21.74","19.99","21.74","16.222"
"6","Jay Ajayi MIA","19.99","20.28","18.613","21.74","14.829","19.710","18.613","15.027","19.611","16.222","BYE","14.830","19.312","14.830","21.73","18.315","21.73"
"7","Jordan Howard CHI","19.710","19.99","20.57","16.421","15.526","15.027","16.222","21.74","BYE","16.421","15.824","16.720","28.11","18.314","15.824","23.72","15.526"
"8","DeMarco Murray TEN","19.611","17.019","14.631","17.518","18.116","20.86","23.72","BYE","15.027","18.314","20.57","20.86","17.518","14.928","28.11","17.817","17.019"
"9","Todd Gurley LAR","20.86","21.05","28.11","14.332","14.631","17.019","14.928","BYE","15.725","17.518","15.526","21.74","14.928","16.720","14.631","14.829","28.11"
"10","Leonard Fournette JAC","17.518","14.829","15.027","18.613","20.57","17.817","20.86","BYE","18.314","20.28","23.72","14.928","20.86","14.631","17.518","28.11","14.829"
"11","Ezekiel Elliott DAL","15.725","19.312","14.928","17.817","16.421","BYE","28.11","21.05","18.315","19.710","16.720","20.28","21.05","15.725","19.611","14.631","16.720"
"12","Isaiah Crowell CLE","20.57","15.027","20.86","18.314","18.613","17.518","14.829","15.526","BYE","15.824","17.019","18.314","20.28","16.421","15.027","16.123","20.57"
"13","Lamar Miller HOU","17.019","18.314","14.830","14.829","18.315","23.72","BYE","14.631","20.86","17.817","14.928","15.027","14.829","28.11","17.019","20.57","20.86"
"14","Marshawn Lynch OAK","14.829","18.613","21.05","19.312","15.027","20.28","18.315","21.73","18.116","BYE","14.830","19.312","15.725","18.315","14.332","16.720","20.28"
"15","Carlos Hyde SF","16.222","14.631","17.817","14.928","20.86","21.05","14.332","16.720","14.928","15.725","BYE","14.631","16.123","17.518","14.829","17.019","17.817"
"16","Joe Mixon CIN","15.027","17.518","16.421","23.72","21.73","BYE","20.57","20.86","17.019","14.829","19.312","23.72","20.57","16.123","15.526","15.824","15.027"
"17","Ty Montgomery GB","14.631","19.710","18.314","16.123","14.332","15.526","21.74","BYE","15.824","16.123","15.027","20.57","19.99","23.72","16.222","15.526","15.824"
"18","Dalvin Cook MIN","21.74","20.57","19.99","15.824","16.123","16.421","15.027","23.72","BYE","21.05","17.817","15.824","19.710","16.222","18.314","16.421","16.123"
"19","Christian McCaffrey CAR","28.11","21.73","21.74","14.830","15.824","16.720","16.123","19.99","19.710","18.116","BYE","18.613","21.74","15.526","16.421","19.99","19.710"
"20","Spencer Ware KC","14.830","16.720","20.28","21.05","17.518","20.57","19.611","19.312","14.332","BYE","15.725","21.73","18.613","19.611","20.28","18.116","19.312"
"21","C.J. Anderson DEN","20.28","14.332","21.73","19.611","BYE","15.725","20.28","18.315","16.720","14.830","18.314","19.611","18.116","18.613","20.86","21.05","18.315"
"22","Mark Ingram NO","15.526","14.830","16.222","18.116","BYE","15.824","16.421","16.123","19.99","21.73","21.05","17.817","16.222","19.710","18.613","19.710","19.99"
"23","Mike Gillislee NE","18.315","21.74","17.518","16.222","19.99","18.613","19.710","20.28","BYE","19.312","19.611","18.116","21.73","18.116","20.57","21.73","18.613"
"24","Bilal Powell NYJ","21.73","19.611","18.116","17.019","23.72","14.830","18.116","19.710","21.73","19.99","BYE","16.222","18.315","19.312","21.74","20.28","14.830"
"25","Ameer Abdullah DET","14.928","15.725","19.710","15.526","16.222","21.74","BYE","20.57","16.421","23.72","16.123","15.526","15.027","19.99","16.123","18.314","16.421"
"26","Frank Gore IND","17.817","14.928","23.72","14.631","28.11","14.829","17.019","18.314","17.518","20.57","BYE","14.829","17.019","21.73","19.312","15.027","17.518"
"27","Tevin Coleman ATL","16.123","16.421","15.824","21.73","BYE","18.116","14.830","18.613","16.222","14.332","14.631","19.99","15.526","21.74","19.99","21.74","16.222"
"28","LeGarrette Blount PHI","21.05","18.315","15.725","20.28","14.928","16.222","21.05","28.11","19.312","BYE","14.332","16.123","14.631","17.817","15.725","19.611","14.332"
"29","Eddie Lacy SEA","16.421","28.11","14.829","20.86","17.817","BYE","15.725","17.518","21.05","14.928","19.710","28.11","16.720","17.019","17.817","14.332","14.928"
"30","Paul Perkins NYG","14.332","15.824","16.720","19.99","20.28","19.312","14.631","BYE","17.817","28.11","18.315","21.05","19.611","14.332","16.720","14.928","21.05"
"31","Adrian Peterson NO","15.526","14.830","16.222","18.116","BYE","15.824","16.421","16.123","19.99","21.73","21.05","17.817","16.222","19.710","18.613","19.710","19.99"
"32","Danny Woodhead BAL","18.314","23.72","17.019","20.57","19.611","16.123","15.526","18.116","14.829","BYE","16.421","17.518","15.824","20.57","23.72","20.86","18.314"
"33","Terrance West BAL","18.314","23.72","17.019","20.57","19.611","16.123","15.526","18.116","14.829","BYE","16.421","17.518","15.824","20.57","23.72","20.86","18.314"
