"ECR","Player","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"1","Rob Gronkowski NE","4.630","7.416","4.729","11.32","6.623","9.26","9.85","7.317","BYE","7.614","8.99","9.27","6.125","9.27","7.615","6.125","9.26"
"2","Travis Kelce KC","6.622","4.231","7.317","8.610","4.729","7.615","8.99","7.614","9.18","BYE","7.613","6.125","9.26","8.99","7.317","9.27","7.614"
"3","Greg Olsen CAR","6.920","6.125","7.416","6.622","10.23","4.231","6.026","6.623","9.85","9.27","BYE","9.26","7.416","7.219","8.212","6.623","9.85"
"4","Jordan Reed WAS","4.231","5.827","8.99","4.630","BYE","6.920","4.231","9.18","5.428","7.219","7.416","7.613","9.18","7.317","3.532","7.614","7.613"
"5","Jimmy Graham SEA","8.212","6.920","7.318","8.511","5.827","BYE","7.613","4.729","8.610","3.532","9.85","6.920","4.231","6.721","5.827","9.18","3.532"
"6","Tyler Eifert CIN","6.424","4.729","8.212","12.01","6.125","BYE","7.615","8.511","6.721","7.318","7.614","12.01","7.615","6.026","7.219","10.23","6.424"
"7","Kyle Rudolph MIN","7.416","7.615","6.623","10.23","6.026","8.212","6.424","12.01","BYE","8.610","5.827","10.23","9.85","11.32","9.94","8.212","6.026"
"8","Delanie Walker TEN","8.99","6.721","5.428","4.729","9.27","8.511","12.01","BYE","6.424","9.94","7.615","8.511","4.729","3.532","6.920","5.827","6.721"
"9","Martellus Bennett GB","5.428","9.85","9.94","6.026","9.18","7.219","7.416","BYE","10.23","6.026","6.424","7.615","6.623","12.01","11.32","7.219","10.23"
"10","Zach Ertz PHI","8.610","4.630","7.613","7.317","3.532","11.32","8.610","6.920","7.614","BYE","9.18","6.026","5.428","5.827","7.613","8.99","9.18"
"11","Eric Ebron DET","3.532","7.613","9.85","7.219","11.32","7.416","BYE","7.615","8.212","12.01","6.026","7.219","6.424","6.623","6.026","9.94","8.212"
"12","Hunter Henry LAC","7.614","9.27","4.630","4.231","7.613","8.99","7.614","6.622","BYE","6.721","6.125","9.18","12.01","8.610","4.630","9.26","8.99"
"13","Jack Doyle IND","5.827","3.532","12.01","5.428","6.920","7.318","6.721","9.94","4.729","7.615","BYE","7.318","6.721","6.125","7.614","6.424","4.729"
"14","Coby Fleener NO","7.219","6.622","11.32","9.27","BYE","10.23","8.212","6.026","6.623","6.125","8.610","5.827","11.32","9.85","9.26","9.85","6.623"
"15","Austin Hooper ATL","6.026","8.212","10.23","6.125","BYE","9.27","6.622","9.26","11.32","9.18","5.428","6.623","7.219","7.416","6.623","7.416","11.32"
"16","Jason Witten DAL","7.613","7.614","3.532","5.827","8.212","BYE","6.920","8.610","4.630","9.85","4.231","7.317","8.610","7.613","8.99","5.428","4.231"
"17","Cameron Brate TB","9.27","6.026","7.219","7.613","6.622","3.532","6.125","11.32","7.416","9.26","BYE","9.85","8.212","10.23","9.85","11.32","7.416"
"18","Julius Thomas MIA","6.623","7.317","9.26","7.416","7.318","9.85","9.26","6.424","8.99","11.32","BYE","6.622","7.614","6.622","6.125","4.630","6.125"
"19","C.J. Fiedorowicz HOU","6.721","9.94","6.622","7.318","4.630","12.01","BYE","5.428","8.511","5.827","3.532","6.424","7.318","6.920","6.721","7.615","8.511"
"20","Antonio Gates LAC","7.614","9.27","4.630","4.231","7.613","8.99","7.614","6.622","BYE","6.721","6.125","9.18","12.01","8.610","4.630","9.26","8.99"
"21","O.J. Howard TB","9.27","6.026","7.219","7.613","6.622","3.532","6.125","11.32","7.416","9.26","BYE","9.85","8.212","10.23","9.85","11.32","7.416"
"22","Jared Cook OAK","7.318","9.26","8.610","7.614","6.424","7.317","4.630","6.125","9.27","BYE","6.622","7.614","7.613","4.630","9.18","4.231","7.317"
"23","David Njoku CLE","7.615","6.424","8.511","9.94","9.26","4.729","7.318","7.219","BYE","10.23","6.721","9.94","7.317","8.212","6.424","6.026","7.615"
"24","Zach Miller CHI","9.85","6.623","7.615","8.212","7.219","6.424","11.32","7.416","BYE","8.212","10.23","4.231","6.920","9.94","10.23","12.01","7.219"
"25","Evan Engram NYG","9.18","10.23","4.231","6.623","7.317","7.614","5.428","BYE","5.827","6.920","4.630","8.610","8.99","9.18","4.231","3.532","8.610"
"26","Charles Clay BUF","9.26","11.32","7.614","9.85","9.94","BYE","6.623","8.99","9.26","7.416","7.317","4.630","6.622","8.511","9.27","6.622","9.27"
"27","Austin Seferian-Jenkins NYJ","6.125","8.99","9.27","6.721","12.01","6.622","9.27","9.85","6.125","6.623","BYE","11.32","4.630","7.614","7.416","7.317","6.622"
"28","Dwayne Allen NE","4.630","7.416","4.729","11.32","6.623","9.26","9.85","7.317","BYE","7.614","8.99","9.27","6.125","9.27","7.615","6.125","9.26"
"29","Jesse James PIT","12.01","7.219","6.026","6.424","6.721","4.630","9.94","10.23","BYE","8.511","7.318","8.212","9.94","6.424","6.622","4.729","12.01"
"30","Tyler Higbee LAR","8.511","8.610","6.920","9.18","5.428","6.721","3.532","BYE","7.613","4.729","7.219","7.416","3.532","4.231","5.428","7.318","6.920"
"31","Benjamin Watson BAL","9.94","12.01","6.721","7.615","8.99","6.026","7.219","9.27","7.318","BYE","8.212","4.729","10.23","7.615","12.01","8.511","9.94"
"32","Vernon Davis WAS","4.231","5.827","8.99","4.630","BYE","6.920","4.231","9.18","5.428","7.219","7.416","7.613","9.18","7.317","3.532","7.614","7.613"
"33","Vance McDonald SF","11.32","5.428","5.827","3.532","8.511","8.610","9.18","4.231","3.532","7.613","BYE","5.428","6.026","4.729","7.318","6.721","5.827"
"34","Jermaine Gresham ARI","10.23","8.511","9.18","6.920","4.231","6.623","5.827","BYE","6.920","5.428","4.729","6.721","5.827","7.318","8.610","7.613","5.428"
"35","Erik Swoope IND","5.827","3.532","12.01","5.428","6.920","7.318","6.721","9.94","4.729","7.615","BYE","7.318","6.721","6.125","7.614","6.424","4.729"
