"ECR","Player","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"1","Antonio Brown PIT","24.011","19.429","25.26","24.110","19.827","23.612","18.431","23.219","BYE","22.322","26.23","27.71","18.431","24.110","20.226","19.528","24.011"
"2","Odell Beckham Jr. NYG","22.721","23.219","26.92","23.416","20.824","13.532","23.613","BYE","25.17","25.65","23.612","23.218","23.514","22.721","26.92","25.74","23.218"
"3","Julio Jones ATL","25.26","27.71","23.219","21.623","BYE","24.68","20.226","22.920","24.39","22.721","23.613","23.416","19.429","23.515","23.416","23.515","24.39"
"4","A.J. Green CIN","24.110","19.528","27.71","24.011","21.623","BYE","18.630","22.322","19.827","26.23","13.532","24.011","18.630","25.26","19.429","23.219","24.110"
"5","Mike Evans TB","24.68","25.26","19.429","20.625","20.226","25.74","21.623","24.39","23.515","22.920","BYE","23.317","27.71","23.219","23.317","24.39","23.515"
"6","Jordy Nelson GB","23.613","23.317","18.431","25.26","22.721","19.429","23.515","BYE","23.219","25.26","24.110","18.630","23.416","24.011","24.39","19.429","23.219"
"7","Michael Thomas NO","19.429","20.226","24.39","24.68","BYE","23.219","27.71","25.26","23.416","21.623","23.218","25.17","24.39","23.317","22.920","23.317","23.416"
"8","Dez Bryant DAL","20.625","13.532","25.74","25.17","27.71","BYE","25.65","23.218","23.612","23.317","26.92","20.824","23.218","20.625","23.514","23.613","26.92"
"9","T.Y. Hilton IND","25.17","25.74","24.011","23.613","25.65","26.23","19.827","18.431","19.528","18.630","BYE","26.23","19.827","21.623","13.532","24.110","19.528"
"10","Amari Cooper OAK","26.23","22.920","23.218","13.532","24.110","20.824","23.612","21.623","24.68","BYE","20.226","13.532","20.625","23.612","22.721","26.92","20.824"
"11","Doug Baldwin SEA","27.71","25.65","26.23","22.322","25.17","BYE","20.625","19.528","23.218","25.74","23.317","25.65","26.92","19.827","25.17","22.721","25.74"
"12","DeAndre Hopkins HOU","19.827","18.431","20.226","26.23","23.612","24.011","BYE","23.613","22.322","25.17","25.74","24.110","26.23","25.65","19.827","18.630","22.322"
