#,Pick,Name,Pos,Team,Bye,Overall,Std.,High,Low,Times,Graph
1,1.01,David Johnson,RB,ARI,8,1.3,0.6,1.01,1.04,493,
2,1.02,LeVeon Bell,RB,PIT,9,2.3,0.8,1.01,1.06,560,
3,1.03,Antonio Brown,WR,PIT,9,3.5,1,1.01,1.08,416,
4,1.04,Julio Jones,WR,ATL,5,4.5,1.5,1.01,1.12,363,
5,1.06,Odell Beckham Jr,WR,NYG,8,5.5,1.3,1.01,1.11,355,
6,1.07,Mike Evans,WR,TB,11,6.7,1.6,1.02,2.01,435,
7,1.07,LeSean McCoy,RB,BUF,6,6.8,1.8,1.03,2.04,372,
8,1.09,Melvin Gordon,RB,LAC,9,8.8,2.1,1.03,2.04,411,
9,1.09,A.J. Green,WR,CIN,6,8.9,1.8,1.04,2.04,499,
10,1.1,Devonta Freeman,RB,ATL,5,9.6,2.2,1.04,2.04,530,
11,1.1,Jordy Nelson,WR,GB,8,10.3,2.2,1.02,2.07,546,
12,2.02,Michael Thomas,WR,NO,5,12.4,2,1.04,2.05,401,
13,2.03,Jay Ajayi,RB,MIA,11,13,2.5,1.04,3.02,448,
14,2.03,Ezekiel Elliott,RB,DAL,6,13.3,4.2,1.02,2.12,642,
15,2.05,DeMarco Murray,RB,TEN,8,14.6,2.7,1.05,3.01,465,
16,2.06,Jordan Howard,RB,CHI,9,16.2,2.4,1.06,3.01,380,
17,2.06,Brandin Cooks,WR,NE,9,16.3,2.9,1.03,3.01,386,
18,2.08,Dez Bryant,WR,DAL,6,17.7,3.1,1.09,3.04,429,
19,2.09,Todd Gurley,RB,LAR,8,18.8,2.9,1.11,3.02,383,
20,2.09,Rob Gronkowski,TE,NE,9,19,4.2,1.05,3.05,469,
21,2.1,Amari Cooper,WR,OAK,10,19.9,2.9,1.07,3.09,478,
22,3.02,Doug Baldwin,WR,SEA,6,21.6,3.1,1.12,3.08,507,
23,3.03,Aaron Rodgers,QB,GB,8,22.6,5.6,1.02,3.1,390,
24,3.03,Kareem Hunt,RB,KC,10,22.7,3.5,1.12,3.09,587,
25,3.03,Christian McCaffrey,RB,CAR,11,23,3.8,1.07,3.1,441,
26,3.06,Keenan Allen,WR,LAC,9,25.6,3.4,2.03,4.02,475,
27,3.07,Dalvin Cook,RB,MIN,9,27,3.3,2.01,4.03,444,
28,3.08,Leonard Fournette,RB,JAC,8,28,3.8,2.05,4.05,400,
29,3.08,T.Y. Hilton,WR,IND,11,28.2,3.8,2.05,4.04,344,
30,3.09,Tom Brady,QB,NE,9,29.3,5.6,1.01,4.08,407,
31,3.1,Isaiah Crowell,RB,CLE,9,30.4,4,2.02,5.01,418,
32,4.01,Terrelle Pryor,WR,WAS,5,30.7,4.1,2.06,4.09,396,
33,4.02,DeAndre Hopkins,WR,HOU,7,31.8,4.3,2.08,4.07,446,
34,4.04,Demaryius Thomas,WR,DEN,5,33.8,3.9,2.1,4.08,414,
35,4.05,Marshawn Lynch,RB,OAK,10,34.6,5,2.09,4.12,414,
36,4.05,Lamar Miller,RB,HOU,7,34.8,4.7,2.06,5.01,387,
37,4.05,Ty Montgomery,RB,GB,8,35.3,4.5,2.09,5.01,474,
38,4.08,Alshon Jeffery,WR,PHI,10,37.6,4.6,2.02,5.07,403,
39,4.08,Carlos Hyde,RB,SF,11,37.8,4.9,2.08,5.04,459,
40,4.08,Travis Kelce,TE,KC,10,38,5.4,1.11,5.04,378,
41,4.09,Kelvin Benjamin,WR,CAR,11,38.7,4.9,2.09,5.03,409,
42,5.01,Michael Crabtree,WR,OAK,10,40.9,5.5,2.12,6.07,391,
43,5.02,Drew Brees,QB,NO,5,42.1,6.4,1.1,5.09,345,
44,5.02,Davante Adams,WR,GB,8,42.2,5.5,2.11,6.04,451,
45,5.03,Joe Mixon,RB,CIN,6,42.6,5.6,2.06,5.1,346,
46,5.04,Tyreek Hill,WR,KC,10,44.2,5.9,2.12,6.02,414,
47,5.07,Golden Tate,WR,DET,7,46.5,5.5,3.05,6.1,351,
48,5.07,Martavis Bryant,WR,PIT,9,47,5.7,3.02,6.09,525,
49,5.08,Doug Martin,RB,TB,11,47.8,5.6,3.06,6.04,449,
50,5.09,Larry Fitzgerald,WR,ARI,8,48.5,6.6,3.01,6.09,453,
51,5.09,Bilal Powell,RB,NYJ,11,49.3,5.8,3.07,6.06,408,
52,6.02,Greg Olsen,TE,CAR,11,51.5,5.9,3.06,6.06,351,
53,6.02,CJ Anderson,RB,DEN,5,52,6.2,2.03,6.07,326,
54,6.03,Jordan Reed,TE,WAS,5,53.1,6.2,3.04,6.07,288,
55,6.04,Ameer Abdullah,RB,DET,7,54.2,6.9,3.05,7.04,433,
56,6.04,Stefon Diggs,WR,MIN,9,54.5,6.1,3.11,7.01,457,
57,6.05,DeVante Parker,WR,MIA,11,55,6.7,4.02,7.06,580,
58,6.05,Matt Ryan,QB,ATL,5,55.2,8.1,3.07,7.03,237,
59,6.06,Allen Robinson,WR,JAC,8,56.3,7,3.09,7.1,406,
60,6.07,Jimmy Graham,TE,SEA,6,56.9,5.5,4.05,8.04,304,
61,6.09,Mark Ingram,RB,NO,5,59,7.5,3.08,8.01,340,
62,6.1,Danny Woodhead,RB,BAL,10,60.3,6.8,4.05,7.07,322,
63,7.01,Russell Wilson,QB,SEA,6,60.7,8.2,2.04,7.11,269,
64,7.05,Jarvis Landry,WR,MIA,11,64.8,8.6,4.03,7.11,414,
65,7.05,Jamison Crowder,WR,WAS,5,64.9,7.4,4.04,7.12,527,
66,7.06,Mike Gillislee,RB,NE,9,65.6,7.5,3.08,8.02,287,
67,7.07,Derek Carr,QB,OAK,10,67,8,4.06,8.06,225,
68,7.08,Darren McFadden,RB,DAL,6,67.7,7.3,4.05,8.06,333,
69,7.09,Adrian Peterson,RB,NO,5,69,8.2,3.12,8.05,316,
70,7.09,Brandon Marshall,WR,NYG,8,69,8.4,4.02,8.07,456,
71,7.09,Tyler Eifert,TE,CIN,6,69.5,10,5.03,9.07,200,
72,8.01,Willie Snead,WR,NO,5,71.1,7.5,5.01,8.02,315,
73,8.01,Pierre Garcon,WR,SF,11,71.1,7.7,4.05,8.05,508,
74,8.02,Tevin Coleman,RB,ATL,5,72.4,7.8,4.08,8.08,289,
75,8.03,Rob Kelley,RB,WAS,5,73.4,7.6,3.12,8.06,394,
76,8.04,Sammy Watkins,WR,LAR,8,74.2,7.9,4.09,8.08,414,
77,8.04,Marcus Mariota,QB,TEN,8,74.4,10.8,3.11,9.02,239,
78,8.06,Zach Ertz,TE,PHI,10,75.7,11,4.01,10.02,249,
79,8.06,Derrick Henry,RB,TEN,8,75.9,6.8,5.1,9.01,331,
80,8.06,Emmanuel Sanders,WR,DEN,5,75.9,8.2,5.06,8.09,355,
81,8.07,Delanie Walker,TE,TEN,8,77.1,12.7,2.09,10.04,214,
82,8.09,Chris Hogan,WR,NE,9,79,9.1,4.04,9.12,427,
83,9.02,Jameis Winston,QB,TB,11,81.6,10.6,4.05,9.11,244,
84,9.02,Theo Riddick,RB,DET,7,82.2,7.4,5.12,9.12,180,
85,9.03,Jeremy Maclin,WR,BAL,10,82.7,7.5,5.03,9.04,249,
86,9.03,LeGarrette Blount,RB,PHI,10,82.8,9.7,4.09,9.07,186,
87,9.05,Kyle Rudolph,TE,MIN,9,84.7,11.3,6.01,10.1,297,
88,9.06,Frank Gore,RB,IND,11,85.9,7.9,6.02,10.1,270,
89,9.06,Eric Decker,WR,TEN,8,86,8.3,5.02,9.06,230,
90,9.06,Paul Perkins,RB,NYG,8,86.4,8.2,5.08,10.02,255,
91,9.07,Kirk Cousins,QB,WAS,5,87.1,9.2,4.04,9.09,286,
92,9.08,Cam Newton,QB,CAR,11,88.2,10,3.08,9.1,322,
93,9.1,DeSean Jackson,WR,TB,11,89.7,10.5,4.01,10.01,227,
94,9.1,Terrance West,RB,BAL,10,90.3,8.2,6.01,10.08,251,
95,10.01,Martellus Bennett,TE,GB,8,90.7,12.4,4.09,10.12,424,
96,10.02,Randall Cobb,WR,GB,8,91.6,9.7,5.07,10.07,225,
97,10.05,Tyrell Williams,WR,LAC,9,94.7,7.3,6.07,9.12,208,
98,10.06,Duke Johnson,RB,CLE,9,95.5,9.3,5.05,11.03,242,
99,10.06,Corey Coleman,WR,CLE,9,95.9,8.1,6.08,10.03,224,
100,10.06,Andrew Luck,QB,IND,11,96.3,9.1,6.11,10.08,310,
101,10.07,Ben Roethlisberger,QB,PIT,9,96.6,9.6,6.06,10.1,233,
102,10.08,Marvin Jones,WR,DET,7,97.8,8.6,4.11,10.07,166,
103,10.08,Thomas Rawls,RB,SEA,6,98,9.1,6.01,11.01,257,
104,10.08,Denver Defense,DEF,DEN,5,98.1,10.5,4.02,10.1,182,
105,10.1,Adam Thielen,WR,MIN,9,99.6,8.6,6.05,10.11,206,
106,10.1,Jacquizz Rodgers,RB,TB,11,100.4,10.8,4.1,11.09,288,
107,11.03,Donte Moncrief,WR,IND,11,102.8,8.4,6.07,10.08,105,
108,11.04,Philip Rivers,QB,LAC,9,103.9,8.6,6.11,11.06,260,
109,11.05,Dak Prescott,QB,DAL,6,105.1,11,6.01,11.07,197,
110,11.06,John Brown,WR,ARI,8,105.9,8.1,7.11,12.11,185,
111,11.06,Houston Defense,DEF,HOU,7,105.9,9.1,6.1,11.02,157,
112,11.07,Jonathan Stewart,RB,CAR,11,106.7,10.8,7.01,11.07,236,
113,11.07,Seattle Defense,DEF,SEA,6,107.1,8.9,6.01,11.04,180,
114,11.08,Corey Davis,WR,TEN,8,108.2,11.7,7.01,12.06,155,
115,11.09,Hunter Henry,TE,LAC,9,108.8,16.6,5.07,13.05,501,
116,11.09,Eddie Lacy,RB,SEA,6,108.8,11.9,5.09,12.12,284,
117,11.1,James White,RB,NE,9,110.1,13,5.04,12.1,232,
118,12.01,Matthew Stafford,QB,DET,7,110.8,10,6.09,12.03,231,
119,12.03,Jordan Matthews,WR,BUF,6,112.7,8.7,8.03,12.12,124,
120,12.04,Kansas City Defense,DEF,KC,10,114,7.3,8.01,12.06,187,
121,12.04,Cooper Kupp,WR,LAR,8,114.2,10.4,7.11,13.03,128,
122,12.06,Jamaal Williams,RB,GB,8,116.3,11.7,7.07,13.03,191,
123,12.07,Rishard Matthews,WR,TEN,8,117.1,10.7,7.04,12.11,118,
124,12.09,Rex Burkhead,RB,NE,9,119.1,13.5,7.08,13.06,181,
125,12.1,New England Defense,DEF,NE,9,119.9,8.1,8.1,12.06,164,
126,13.01,Darren Sproles,RB,PHI,10,121.1,14.4,6.12,13.06,211,
127,13.01,Justin Tucker,PK,BAL,10,121.2,13,1.08,12.02,305,
128,13.02,Coby Fleener,TE,NO,5,122.5,17.4,8.03,13.06,31,
129,13.03,Jack Doyle,TE,IND,11,122.6,16.7,5.12,13.06,139,
130,13.03,Mike Wallace,WR,BAL,10,122.7,12.9,8.02,13.06,150,
131,13.03,Samaje Perine,RB,WAS,5,122.7,14.4,5.09,13.06,177,
132,13.03,O.J. Howard,TE,TB,11,122.9,24.3,6.05,13.05,36,
133,13.03,Andy Dalton,QB,CIN,6,123.4,10.6,7.06,13.04,192,
134,13.03,Stephen Gostkowski,PK,NE,9,123.4,10.2,7.08,12.04,179,
135,13.04,Jason Witten,TE,DAL,6,123.5,21.6,6.02,13.06,66,
136,13.04,Eric Ebron,TE,DET,7,123.8,16.3,6.11,13.06,186,
137,13.04,Kenny Britt,WR,CLE,9,123.9,12.3,8.07,13.06,106,
138,13.05,Zay Jones,WR,BUF,6,124.6,13.5,7.04,13.06,157,
139,13.05,Arizona Defense,DEF,ARI,8,125.1,8.6,9.05,13.06,149,
140,13.06,Austin Hooper,TE,ATL,5,125.9,16.5,7.03,13.06,53,
141,13.06,CJ Prosise,RB,SEA,6,126.3,14.1,5.09,13.04,109,
142,13.07,Cole Beasley,WR,DAL,6,127.4,16.3,4.12,13.06,95,
143,13.08,Minnesota Defense,DEF,MIN,9,127.6,9.3,7.11,13.06,167,
144,13.08,Kevin White,WR,CHI,9,127.7,11.6,8.08,13.06,188,
145,13.08,Carson Wentz,QB,PHI,10,128,12.2,7.04,13.05,149,
146,13.08,Alvin Kamara,RB,NO,5,128.1,16.8,5.09,13.06,50,
147,13.08,Ted Ginn Jr,WR,NO,5,128.2,15.1,7.03,13.06,157,
148,13.09,Wendell Smallwood,RB,PHI,10,128.9,14.2,8.12,13.06,38,
149,13.09,Eli Manning,QB,NYG,8,129,11.9,7.06,13.05,125,
150,13.09,Jeremy Hill,RB,CIN,6,129.1,15.2,7.08,13.06,102,
151,13.1,Danny Amendola,WR,NE,9,129.6,16.7,6.09,13.06,105,
152,13.1,Matt Forte,RB,NYJ,11,129.7,13.7,8.07,13.06,106,
153,13.1,Jamaal Charles,RB,DEN,5,129.7,15.4,5.1,13.06,223,
154,14.01,Matt Bryant,PK,ATL,5,131.2,6.9,9.03,13.01,112,
155,14.02,Carson Palmer,QB,ARI,8,131.6,11.7,9.11,13.06,94,
156,14.02,Robby Anderson,WR,NYJ,11,132.5,10.6,9.08,13.05,68,
157,14.03,Marlon Mack,RB,IND,11,132.6,13,7.03,13.06,67,
158,14.03,Kenny Golladay,WR,DET,7,132.8,10.7,9.11,13.06,43,
159,14.03,NY Giants Defense,DEF,NYG,8,132.9,9.7,8.01,13.06,141,
160,14.03,Sterling Shepard,WR,NYG,8,133,15.6,8.07,13.06,37,
161,14.05,Pittsburgh Defense,DEF,PIT,9,135.4,8.8,9.12,13.06,152,
162,14.05,Dan Bailey,PK,DAL,6,135.5,8.4,9.04,13.06,134,
163,14.1,Philadelphia Defense,DEF,PHI,10,139.6,5.6,11.03,13.06,67,
164,14.1,Carolina Defense,DEF,CAR,11,140.3,7,10.06,13.06,115,
